question,answer,relevant_laws,sections_extracted
ถ้าเขียนข้อความที่กฎหมายไม่ได้กำหนดให้ต้องเขียนลงในตั๋วเงิน จะมีผลอย่างไร,ข้อความนั้นไม่เป็นผลแก่ตั๋วเงินนั้น คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 899 ข้อความอันใดซึ่งมิได้มีบัญญัติไว้ในประมวลกฎหมายลักษณะนี้ ถ้าเขียนลงในตั๋วเงิน ท่านว่าข้อความอันนั้นหาเป็นผลอย่างหนึ่งอย่างใดแก่ตั๋วเงินนั้นไม่,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 899\nข้อความอันใดซึ่งมิได้มีบัญญัติไว้ในประมวลกฎหมายลักษณะนี้ ถ้าเขียนลงในตั๋วเงิน ท่านว่าข้อความอันนั้นหาเป็นผลอย่างหนึ่งอย่างใดแก่ตั๋วเงินนั้นไม่', 'section_num': '899'}]",['899']
การนำตั๋วเงินลงเป็นรายการในบัญชีเดินสะพัด หมายถึงอะไร,อาจจะมีผู้ชำระเงินตามตั๋วนั้น คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 857 การนำตั๋วเงินลงเป็นรายการในบัญชีเดินสะพัดนั้น ท่านให้สันนิษฐานไว้ก่อนว่าได้ลงด้วยเงื่อนไขว่าจะมีผู้ชำระเงินตามตั๋วนั้น ถ้าและตั๋วนั้นมิได้ชำระเงินไซร้ จะเพิกถอนรายการอันนั้นเสียก็ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 857\nการนำตั๋วเงินลงเป็นรายการในบัญชีเดินสะพัดนั้น ท่านให้สันนิษฐานไว้ก่อนว่าได้ลงด้วยเงื่อนไขว่าจะมีผู้ชำระเงินตามตั๋วนั้น ถ้าและตั๋วนั้นมิได้ชำระเงินไซร้ จะเพิกถอนรายการอันนั้นเสียก็ได้', 'section_num': '857'}]",['857']
ถ้าพินัยกรรมมีเงื่อนไขว่าจะจัดการมรดกได้ตอนอายุ 20 ปี ระหว่างรอให้อายุครบต้องทำอย่างไร,ร้องต่อศาลขอให้ตั้งผู้จัดการทรัพย์สินที่ยกให้โดยพินัยกรรมนั้นจนกว่าจะอายุครบ 20 ปี หรือจนกว่าความสำเร็จแห่งเงื่อนไขตกเป็นอันพ้นวิสัยก็ได้ คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1675 เมื่อพินัยกรรมมีเงื่อนไขบังคับก่อน ผู้รับประโยชน์ตามข้อความแห่งพินัยกรรมนั้นจะร้องต่อศาลขอให้ตั้งผู้จัดการทรัพย์สินที่ยกให้โดยพินัยกรรมนั้นจนกว่าจะถึงเวลาที่เงื่อนไขสำเร็จ หรือจนกว่าความสำเร็จแห่งเงื่อนไขตกเป็นอันพ้นวิสัยก็ได้ ถ้าศาลเห็นเป็นการสมควร จะตั้งผู้ร้องนั้นเป็นผู้จัดการทรัพย์สินเสียเอง และเรียกให้ผู้ร้องนั้นวางประกันตามที่สมควรก็ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1675\nเมื่อพินัยกรรมมีเงื่อนไขบังคับก่อน ผู้รับประโยชน์ตามข้อความแห่งพินัยกรรมนั้นจะร้องต่อศาลขอให้ตั้งผู้จัดการทรัพย์สินที่ยกให้โดยพินัยกรรมนั้นจนกว่าจะถึงเวลาที่เงื่อนไขสำเร็จ หรือจนกว่าความสำเร็จแห่งเงื่อนไขตกเป็นอันพ้นวิสัยก็ได้\nถ้าศาลเห็นเป็นการสมควร จะตั้งผู้ร้องนั้นเป็นผู้จัดการทรัพย์สินเสียเอง และเรียกให้ผู้ร้องนั้นวางประกันตามที่สมควรก็ได้', 'section_num': '1675'}]",['1675']
ใครที่สามารถร้องขอต่อศาลให้ตนเป็นผู้จัดการสินสมรสได้,สามีหรือภริยา คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1485 สามีหรือภริยาอาจร้องขอต่อศาลให้ตนเป็นผู้จัดการสินสมรสโดยเฉพาะอย่างใดอย่างหนึ่งหรือเข้าร่วมจัดการในการนั้นได้ ถ้าการที่จะทำเช่นนั้นจะเป็นประโยชน์ยิ่งกว่า,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1485\nสามีหรือภริยาอาจร้องขอต่อศาลให้ตนเป็นผู้จัดการสินสมรสโดยเฉพาะอย่างใดอย่างหนึ่งหรือเข้าร่วมจัดการในการนั้นได้ ถ้าการที่จะทำเช่นนั้นจะเป็นประโยชน์ยิ่งกว่า', 'section_num': '1485'}]",['1485']
ผู้ให้ฟ้องคดีถอนคืนการให้เมื่อพ้น 10 ปีแล้ว กรรมสิทธิ์ในทรัพย์สินจะเป็นของใคร,กรรมสิทธิ์เป็นของผู้รับ เนื่องจากขาดอายุความที่จะฟ้องร้องได้ คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1333 ท่านว่ากรรมสิทธิ์นั้น อาจได้มาโดยอายุความตามที่บัญญัติไว้ในลักษณะ 3 (ให้) แห่งบรรพนี้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1333\nท่านว่ากรรมสิทธิ์นั้น อาจได้มาโดยอายุความตามที่บัญญัติไว้ในลักษณะ 3 แห่งบรรพนี้', 'section_num': '1333'}]",['1333']
ถ้าจะฟ้องคดีเนื่องจากตัวแทนนำเงินไปใช้เพื่อประโยชน์ส่วนตัว สามารถเรียกดอกเบี้ยด้วยได้หรือไม่,ได้ โดยตัวแทนต้องเสียดอกเบี้ยในเงินนั้นนับแต่วันที่ได้เอาไปใช้ คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 811 ถ้าตัวแทนเอาเงินซึ่งควรจะได้ส่งแก่ตัวการ หรือซึ่งควรจะใช้ในกิจของตัวการนั้นไปใช้สอยเป็นประโยชน์ตนเสีย ท่านว่าตัวแทนต้องเสียดอกเบี้ยในเงินนั้นนับแต่วันที่ได้เอาไปใช้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 811\nถ้าตัวแทนเอาเงินซึ่งควรจะได้ส่งแก่ตัวการ หรือซึ่งควรจะใช้ในกิจของตัวการนั้นไปใช้สอยเป็นประโยชน์ตนเสีย ท่านว่าตัวแทนต้องเสียดอกเบี้ยในเงินนั้นนับแต่วันที่ได้เอาไปใช้', 'section_num': '811'}]",['811']
ถ้าผู้ขนส่งพิสูจน์ได้ว่าของนั้นบุบสลายเพราะความผิดของผู้ส่ง ผู้ขนส่งต้องรับผิดหรือไม่,ไม่ต้องรับผิด คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 616 ผู้ขนส่งจะต้องรับผิดในการที่ของอันเขาได้มอบหมายแก่ตนนั้นสูญหายหรือบุบสลายหรือส่งมอบชักช้า เว้นแต่จะพิสูจน์ได้ว่าการสูญหายหรือบุบสลายหรือชักช้านั้นเกิดแต่เหตุสุดวิสัย หรือเกิดแต่สภาพแห่งของนั้นเอง หรือเกิดเพราะความผิดของผู้ส่งหรือผู้รับตราส่ง,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 616\nผู้ขนส่งจะต้องรับผิดในการที่ของอันเขาได้มอบหมายแก่ตนนั้นสูญหายหรือบุบสลายหรือส่งมอบชักช้า เว้นแต่จะพิสูจน์ได้ว่าการสูญหายหรือบุบสลายหรือชักช้านั้นเกิดแต่เหตุสุดวิสัย หรือเกิดแต่สภาพแห่งของนั้นเอง หรือเกิดเพราะความผิดของผู้ส่งหรือผู้รับตราส่ง', 'section_num': '616'}]",['616']
ผู้เยาว์สามารถทำพินัยกรรมเองได้หรือไม่,ได้ เนื่องจากการทำพินัยกรรมเป็นการต้องทำเองเฉพาะตัว คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 23 ผู้เยาว์อาจทำการใด ๆ ได้ทั้งสิ้น ซึ่งเป็นการต้องทำเองเฉพาะตัว,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 23\nผู้เยาว์อาจทำการใด ๆ ได้ทั้งสิ้น ซึ่งเป็นการต้องทำเองเฉพาะตัว', 'section_num': '23'}]",['23']
ตั๋วสัญญาใช้เงิน ต้องมีรายละเอียดอย่างไรบ้าง,ต้องมีรายการดังต่อไปนี้ คือ 1) คำบอกชื่อว่าเป็นตั๋วสัญญาใช้เงิน 2) คำมั่นสัญญาอันปราศจากเงื่อนไขว่าจะใช้เงินเป็นจำนวนแน่นอน 3) วันถึงกำหนดใช้เงิน 4) สถานที่ใช้เงิน 5) ชื่อ หรือยี่ห้อของผู้รับเงิน 6) วันและสถานที่ออกตั๋วสัญญาใช้เงิน 7) ลายมือชื่อผู้ออกตั๋ว คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 983,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 983\nตั๋วสัญญาใช้เงินนั้น ต้องมีรายการดังจะกล่าวต่อไปนี้ คือ\n(1) คำบอกชื่อว่าเป็นตั๋วสัญญาใช้เงิน\n(2) คำมั่นสัญญาอันปราศจากเงื่อนไขว่าจะใช้เงินเป็นจำนวนแน่นอน\n(3) วันถึงกำหนดใช้เงิน\n(4) สถานที่ใช้เงิน\n(5) ชื่อ หรือยี่ห้อของผู้รับเงิน\n(6) วันและสถานที่ออกตั๋วสัญญาใช้เงิน\n(7) ลายมือชื่อผู้ออกตั๋ว', 'section_num': '983'}]",['983']
เหตุใดบ้างที่ศาลอาจสั่งให้บริษัทจำกัดเลิกกิจการได้,1) ถ้าทำผิดในการยื่นรายงานประชุมตั้งบริษัท หรือทำผิดในการประชุมตั้งบริษัท 2) ถ้าบริษัทไม่เริ่มทำการภายในปีหนึ่งนับแต่วันจดทะเบียน หรือหยุดทำการถึงปีหนึ่งเต็ม 3) ถ้าการค้าของบริษัททำไปก็มีแต่ขาดทุนอย่างเดียว และไม่มีทางหวังว่าจะกลับฟื้นตัวได้ 4) ถ้าจำนวนผู้ถือหุ้นลดน้อยลงจนเหลือไม่ถึงสามคน 5) เมื่อมีเหตุอื่นใดทำให้บริษัทนั้นเหลือวิสัยที่จะดำรงคงอยู่ต่อไปได้ คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1237 ... แต่อย่างไรก็ดี ในกรณีทำผิดในการยื่นรายงานประชุมตั้งบริษัท หรือทำผิดในการประชุมตั้งบริษัท ศาลจะสั่งให้ยื่นรายงานประชุมตั้งบริษัท หรือให้มีการประชุมตั้งบริษัทแทนสั่งให้เลิกบริษัทก็ได้ แล้วแต่จะเห็นควร,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1237\nนอกจากนี้ศาลอาจสั่งให้เลิกบริษัทจำกัดด้วยเหตุต่อไปนี้ คือ\n(1) ถ้าทำผิดในการยื่นรายงานประชุมตั้งบริษัท หรือทำผิดในการประชุมตั้งบริษัท\n(2) ถ้าบริษัทไม่เริ่มทำการภายในปีหนึ่งนับแต่วันจดทะเบียน หรือหยุดทำการถึงปีหนึ่งเต็ม\n(3) ถ้าการค้าของบริษัททำไปก็มีแต่ขาดทุนอย่างเดียว และไม่มีทางหวังว่าจะกลับฟื้นตัวได้\n(4) ถ้าจำนวนผู้ถือหุ้นลดน้อยลงจนเหลือไม่ถึงสามคน\n(5) เมื่อมีเหตุอื่นใดทำให้บริษัทนั้นเหลือวิสัยที่จะดำรงคงอยู่ต่อไปได้\nแต่อย่างไรก็ดี ในกรณีทำผิดในการยื่นรายงานประชุมตั้งบริษัท หรือทำผิดในการประชุมตั้งบริษัท ศาลจะสั่งให้ยื่นรายงานประชุมตั้งบริษัท หรือให้มีการประชุมตั้งบริษัทแทนสั่งให้เลิกบริษัทก็ได้ แล้วแต่จะเห็นควร', 'section_num': '1237'}]",['1237']
คดีเรียกร้องค่าเสียหายจากการทำละเมิดมีอายุความเท่าใด,มีอายุความ 1 ปีนับแต่วันที่ผู้เสียหายรู้ถึงการละเมิดและรู้ตัวผู้ต้องชดใช้ค่าสินไหมทดแทน หรือเมื่อพ้น 10 ปีนับแต่วันทำละเมิด แต่อาจมีอายุความยาวกว่านี้ได้หากการทำละเมิดนั้นเป็นการกระทำความผิดตามกฎหมายอาญาด้วย เพราะให้ยึดตามคดีอาญา คำอธิบายขยายความ: ตามประมวลกฎหมายแพ่งและพาณิชย์มาตรา 448 ระบุให้คดีดังกล่าวมีอายุความ 1 ปีนับแต่วันที่ผู้เสียหายอยู่ถึงการละเมิดและรวมตัวผู้ต้องชนหรือเมื่อผล 10 ปีนับแต่วันทำละเมิด ทั้งนี้ หากเป็นการเรียกร้องจากการกระทำผิดกฎหมายอาญา อาจมีอายุความยาวกว่านั้นได้ถ้าในคดีอาญามีอายุความยาวกว่า ให้ใช้อายุความที่ยาวกว่า,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 448\nสิทธิเรียกร้องค่าเสียหายอันเกิดแต่มูลละเมิดนั้น ท่านว่าขาดอายุความเมื่อพ้นปีหนึ่งนับแต่วันที่ผู้ต้องเสียหายรู้ถึงการละเมิดและรู้ตัวผู้จะพึงต้องใช้ค่าสินไหมทดแทน หรือเมื่อพ้นสิบปีนับแต่วันทำละเมิด\nแต่ถ้าเรียกร้องค่าเสียหายในมูลอันเป็นความผิดมีโทษตามกฎหมายลักษณะอาญา และมีกำหนดอายุความทางอาญายาวกว่าที่กล่าวมานั้นไซร้ ท่านให้เอาอายุความที่ยาวกว่านั้นมาบังคับ', 'section_num': '448'}]",['448']
ถ้าตกลงให้ลูกหนี้ชำระเงินด้วยสกุลเงินที่ถูกยกเลิกไปแล้ว ผลจะเป็นอย่างไร,กฎหมายให้ถือเสมือนว่าไม่ได้ระบุให้ใช้สกุลเงินนั้น คำอธิบายขยายความ: ตามประมวลกฎหมายแพ่งและพาณิชย์มาตรา 197 ระบุให้กรณีมีการตกลงให้ลูกหนี้ชำระเงินด้วยสกุลเงินที่ถูกยกเลิกไปแล้ว ให้ถือเสมือนว่าไม่ได้ระบุให้ใช้สกุลเงินนั้น,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 197\nถ้าหนี้เงินจะพึงส่งใช้ด้วยเงินตราชนิดหนึ่งชนิดใดโดยเฉพาะ อันเป็นชนิดที่ยกเลิกไม่ใช้กันแล้วในเวลาที่จะต้องส่งเงินใช้หนี้นั้นไซร้ การส่งใช้เงินท่านให้ถือเสมือนหนึ่งว่ามิได้ระบุไว้ให้ใช้เป็นเงินตราชนิดนั้น', 'section_num': '197'}]",['197']
ถ้ามีตราสารแล้วอยากโอนให้บุคคลอื่น ต้องทำอย่างไร,ต้องสลักหลังไว้ที่ตราสารและส่งมอบตราสารนั้นให้แก่ผู้รับโอน ทั้งนี้เพื่อให้สามารถยกขึ้นเป็นข้อต่อสู้กับลูกหนี้หรือบุคคลภายนอกอื่นๆได้ คำอธิบายขยายความ: ตามประมวลกฎหมายแพ่งและพาณิชย์มาตรา 309 ระบุให้ ผู้โอนตราสารต้องสลักหลังที่ตราสารและส่งมอบตราสารนั้นให้แก่ผู้รับโอนจึงจะสามารถยกขึ้นเป็นข้อต่อสู้กับลูกหนี้หรือบุคคลภายนอกคนอื่นได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 309\nการโอนหนี้อันพึงต้องชำระตามเขาสั่งนั้น ท่านว่าจะยกขึ้นเป็นข้อต่อสู้ลูกหนี้ หรือบุคคลภายนอกคนอื่นได้แต่เฉพาะเมื่อการโอนนั้นได้สลักหลังไว้ในตราสาร และตัวตราสารนั้นได้ส่งมอบให้แก่ผู้รับโอนไปด้วย', 'section_num': '309'}]",['309']
อายุความสิทธิเรียกร้องระหว่างสามีภริยาสิ้นสุดเมื่อใด,อายุความสิทธิเรียกร้องระหว่างสามีภริยา 1 ปี นับแต่วันที่การสมรสสิ้นสุดลง,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193/22\nอายุความสิทธิเรียกร้องระหว่างสามีภริยา ถ้าจะครบกำหนดก่อนหรือภายในหนึ่งปีนับแต่วันที่การสมรสสิ้นสุดลง อายุความนั้นยังไม่ครบกำหนดจนกว่าจะครบหนึ่งปีนับแต่วันที่การสมรสสิ้นสุดลง', 'section_num': '193/22'}]","['193/22', '193']"
คำมั่นจะซื้อหรือขายเป็นผลเมื่อใด,คำมั่นจะซื้อหรือขายเป็นผลเมื่อ อีกฝ่ายหนึ่งได้บอกความจำนงว่าจะทำการซื้อขายนั้นให้สำเร็จตลอดไป และคำบอกกล่าวนั้นได้ไปถึงผู้ให้คำมั่นแล้ว คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 454 กรณีคำมั่นไม่มีกำหนดเวลา ถ้าในคำมั่นไม่ได้กำหนดเวลาไว้ บุคคลผู้ให้คำมั่นจะกำหนดเวลาพอสมควร และบอกกล่าวไปยังคู่กรณีอีกฝ่ายหนึ่งให้ตอบมาเป็นแน่นอนภายในเวลากำหนดนั้นก็ได้ ว่าจะทำการซื้อขายให้สำเร็จตลอดไปหรือไม่ ถ้าและไม่ตอบภายในกำหนด คำมั่นซึ่งได้ให้ไว้ก่อนนั้นก็เป็นอันไร้ผล,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 454\nการที่คู่กรณีฝ่ายหนึ่งให้คำมั่นไว้ก่อนว่าจะซื้อหรือขายนั้น จะมีผลเป็นการซื้อขายต่อเมื่ออีกฝ่ายหนึ่งได้บอกกล่าวความจำนงว่าจะทำการซื้อขายนั้นให้สำเร็จตลอดไป และคำบอกกล่าวเช่นนั้นได้ไปถึงบุคคลผู้ให้คำมั่นแล้ว\nถ้าในคำมั่นมิได้กำหนดเวลาไว้เพื่อการบอกกล่าวเช่นนั้นไซร้ ท่านว่าบุคคลผู้ให้คำมั่นจะกำหนดเวลาพอสมควร และบอกกล่าวไปยังคู่กรณีอีกฝ่ายหนึ่งให้ตอบมาเป็นแน่นอนภายในเวลากำหนดนั้นก็ได้ ว่าจะทำการซื้อขายให้สำเร็จตลอดไปหรือไม่ ถ้าและไม่ตอบเป็นแน่นอนภายในกำหนดเวลานั้นไซร้ คำมั่นซึ่งได้ให้ไว้ก่อนนั้นก็เป็นอันไร้ผล', 'section_num': '454'}]",['454']
ผู้ปกครองครองต้องจัดการเรื่องทรัพย์สินใดบ้างของผู้อยู่ใต้ปกครอง,ผู้ปกครองครองต้องจัดการเรื่องทรัพย์สิน ดังนี้ 1 หาประกันอันสมควรในการจัดการทรัพย์สินของผู้อยู่ในปกครอง ตลอดจนการมอบคืนทรัพย์สินนั้น 2 แถลงถึงความเป็นอยู่แห่งทรัพย์สินของผู้อยู่ในปกครอง คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1597 กรณีข้างต้น ผู้ปกครองจะต้องกระทำเมื่อ 1 ศาลเห็นสมควรโดยลำพัง หรือ 2 ผู้มีส่วนได้เสีย หรืออัยการร้องขอ,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1597\nเมื่อศาลเห็นสมควรโดยลำพัง หรือเมื่อผู้มีส่วนได้เสียหรืออัยการร้องขอ ศาลอาจสั่งให้ผู้ปกครอง\n(1) หาประกันอันสมควรในการจัดการทรัพย์สินของผู้อยู่ในปกครอง ตลอดจนการมอบคืนทรัพย์สินนั้น\n(2) แถลงถึงความเป็นอยู่แห่งทรัพย์สินของผู้อยู่ในปกครอง', 'section_num': '1597'}]",['1597']
การถอนอำนาจปกครองมีกรณีใดบ้าง,การถอนอำนาจปกครองแบ่งเป็นกรณีดังนี้ 1 การถอนอำนาจปกครอง 1.1 เป็นคนไร้ความสามารถ 1.2 เสมือนไร้ความสามารถโดยคำสั่งของศาลก็ดี 1.3 ใช้อำนาจปกครองเกี่ยวแก่ตัวผู้เยาว์โดยมิชอบ 1.4 ประพฤติชั่วร้าย 2 การถอนอำนาจจัดการทรัพย์สิน 2.1 ล้มละลาย 2.2 จัดการทรัพย์สินของผู้เยาว์ในทางที่ผิดจนอาจเป็นภัยก็ดี คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1582 กรณีเหล่านี้ศาลจะสั่งเอง หรือจะสั่งเมื่อญาติของผู้เยาว์หรืออัยการร้องขอให้ถอนอำนาจปกครองเสียบางส่วนหรือทั้งหมดก็ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1582\nถ้าผู้ใช้อำนาจปกครองเป็นคนไร้ความสามารถหรือเสมือนไร้ความสามารถโดยคำสั่งของศาลก็ดี ใช้อำนาจปกครองเกี่ยวแก่ตัวผู้เยาว์โดยมิชอบก็ดี ประพฤติชั่วร้ายก็ดี ในกรณีเหล่านี้ศาลจะสั่งเอง หรือจะสั่งเมื่อญาติของผู้เยาว์หรืออัยการร้องขอให้ถอนอำนาจปกครองเสียบางส่วนหรือทั้งหมดก็ได้\nถ้าผู้ใช้อำนาจปกครองล้มละลายก็ดี หรือจัดการทรัพย์สินของผู้เยาว์ในทางที่ผิดจนอาจเป็นภัยก็ดี ศาลจะสั่งตามวิธีในวรรคหนึ่งให้ถอนอำนาจจัดการทรัพย์สินเสียก็ได้', 'section_num': '1582'}]",['1582']
กรณีใดที่ทำให้เจ้าหนีเป็นเจ้าหนี้ผิดนัด,กรณีที่ ลูกหนี้ขอปฏิบัติการชำระหนี้ และเจ้าหนี้ไม่รับชำระหนี้นั้นโดยปราศจากมูลเหตุอันจะอ้างกฎหมาย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 207\nถ้าลูกหนี้ขอปฏิบัติการชำระหนี้ และเจ้าหนี้ไม่รับชำระหนี้นั้นโดยปราศจากมูลเหตุอันจะอ้างกฎหมายได้ไซร้ ท่านว่าเจ้าหนี้ตกเป็นผู้ผิดนัด', 'section_num': '207'}]",['207']
การจะเป็นหุ้นส่วนจำเป็นต้องลงทุนหรือไม่,ต้องลงทุนจึงจะเป็นหุ้นส่วนได้ โดยสามารถลงทุนได้ด้วย เงิน ทรัพย์สินอื่น แรงงาน,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1026\nผู้เป็นหุ้นส่วนทุกคนต้องมีสิ่งหนึ่งสิ่งใดมาลงหุ้นด้วยในห้างหุ้นส่วน\nสิ่งที่นำมาลงด้วยนั้น จะเป็นเงินหรือทรัพย์สินสิ่งอื่น หรือลงแรงงานก็ได้', 'section_num': '1026'}]",['1026']
บริษัทจำกัด ต้องมีสำนักงานหรือไม่,ต้องมีอย่างน้อย 1 แห่ง เนื่องจาก ใช้เป็นธุระติดต่อเพื่อส่งคำบอกกล่าวต่าง ๆ (จดหมาย) คำอธิบายขยายความ : ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1148 สถานที่สำนักงานต้องส่งแก่นายทะเบียนบริษัท และให้นายทะเบียนจดข้อความนั้นลงในทะเบียนด้วย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1148\nบรรดาบริษัทจำกัด ต้องมีสำนักงานบอกทะเบียนไว้แห่งหนึ่งซึ่งธุรการติดต่อและคำบอกกล่าวทั้งปวงจะส่งถึงบริษัทได้ ณ ที่นั้น\nคำบอกกล่าวสถานที่ตั้งแห่งสำนักงานที่ได้บอกทะเบียนไว้ก็ดี หรือเปลี่ยนย้ายสถานที่ก็ดี ให้ส่งแก่นายทะเบียนบริษัท และให้นายทะเบียนจดข้อความนั้นลงในทะเบียน', 'section_num': '1148'}]",['1148']
ผู้เสียหายสามารถเรียกค่าเสียหายจากบริษัทประกันภัยได้หรือไม่,ได้ ดังนี้ ค่าสินไหมทดแทนที่ผู้รับประกันภัย(บริษัทประกัน)ได้ใช้ไปโดยคำพิพากษา ถ้ายังไม่คุ้มค่าวินาศภัยเต็มจำนวน ผู้เอาประกันภัย(ผู้ที่ก่อให้เกิดความเสียหาย) ก็ยังคงต้องใช้เงินจำนวนที่ยังขาด ข้อยกเว้น ผู้เอาประกันไม่ต้องจ่ายค่าสินไหมที่ยังขาด เนื่องจาก บุคคลผู้เสียหายไม่เรียกตัวผู้เอาประกันภัย(ผู้ที่ก่อให้เกิดความเสียหาย) เข้ามาสู่คดีด้วย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 888\nถ้าค่าสินไหมทดแทนอันผู้รับประกันภัยได้ใช้ไปโดยคำพิพากษานั้นยังไม่คุ้มค่าวินาศภัยเต็มจำนวนไซร้ ท่านว่าผู้เอาประกันภัยก็ยังคงต้องรับใช้จำนวนที่ยังขาด เว้นไว้แต่บุคคลผู้ต้องเสียหายจะได้ละเลยเสียไม่เรียกตัวผู้เอาประกันภัยเข้ามาสู่คดีด้วยดังกล่าวไว้ในมาตราก่อน', 'section_num': '888'}]",['888']
ข้อบังคับการประชุมใหญ่ บริษัทจำกัดมีอะไรบ้าง,ข้อบังคับการประชุมใหญ่ให้ปฏิบัติตาม มาตรา 1178 - 1195 ประมวลกฎหมายแพ่งและพานิชย์ ยกเว้น มีข้อบังคับของบริษัทกำหนดไว้เป็นอย่างอื่น,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1177\nวิธีดังบัญญัติไว้ในมาตราต่อ ๆ ไปนี้ ท่านให้ใช้บังคับแก่การประชุมใหญ่ เว้นแต่จะมีข้อบังคับของบริษัทกำหนดไว้เป็นข้อความขัดกัน', 'section_num': '1177'}]",['1177']
